iter	Passed	Remaining
0	140	140600
1	143	71628
2	145	48235
3	146	36520
4	148	29547
5	150	24884
6	151	21538
7	153	19051
8	155	17143
9	157	15586
10	159	14318
11	160	13247
12	162	12372
13	164	11598
14	166	10923
15	168	10333
16	170	9843
17	171	9383
18	174	8986
19	176	8630
20	178	8341
21	180	8036
22	182	7756
23	184	7510
24	186	7274
25	188	7058
26	190	6860
27	192	6685
28	194	6527
29	199	6446
30	201	6308
31	203	6162
32	209	6127
33	211	6006
34	213	5899
35	216	5797
36	218	5676
37	219	5568
38	221	5462
39	223	5362
40	225	5266
41	227	5178
42	229	5097
43	231	5025
44	233	4945
45	235	4875
46	237	4805
47	238	4734
48	240	4665
49	242	4604
50	244	4541
51	245	4483
52	247	4423
53	249	4370
54	251	4315
55	252	4263
56	254	4211
57	256	4163
58	258	4119
59	260	4075
60	262	4033
61	263	3989
62	265	3948
63	267	3907
64	268	3867
65	270	3829
66	272	3794
67	274	3757
68	275	3723
69	277	3688
70	279	3657
71	281	3628
72	283	3595
73	284	3563
74	286	3535
75	288	3506
76	290	3480
77	292	3454
78	294	3429
79	296	3408
80	298	3383
81	299	3356
82	301	3332
83	303	3308
84	305	3284
85	306	3262
86	308	3241
87	310	3220
88	312	3198
89	314	3176
90	315	3154
91	317	3135
92	319	3114
93	321	3095
94	323	3078
95	325	3061
96	326	3041
97	328	3023
98	330	3004
99	331	2987
100	333	2970
101	335	2952
102	337	2938
103	339	2923
104	341	2908
105	342	2892
106	345	2880
107	347	2871
108	349	2856
109	352	2851
110	354	2841
111	356	2827
112	358	2814
113	360	2800
114	362	2789
115	364	2776
116	366	2764
117	368	2755
118	370	2746
119	373	2739
120	375	2727
121	377	2715
122	379	2705
123	381	2695
124	385	2698
125	387	2686
126	389	2674
127	391	2664
128	392	2653
129	394	2641
130	396	2630
131	398	2622
132	400	2612
133	402	2601
134	404	2590
135	406	2580
136	407	2570
137	409	2560
138	411	2551
139	414	2543
140	415	2533
141	417	2524
142	420	2518
143	422	2510
144	424	2502
145	426	2496
146	429	2491
147	431	2482
148	432	2471
149	434	2463
150	436	2454
151	438	2445
152	439	2435
153	442	2428
154	444	2421
155	445	2412
156	447	2402
157	449	2394
158	451	2386
159	452	2378
160	454	2369
161	456	2361
162	458	2353
163	460	2345
164	461	2337
165	463	2330
166	465	2322
167	467	2314
168	468	2305
169	470	2298
170	472	2290
171	474	2283
172	476	2275
173	478	2270
174	479	2262
175	481	2255
176	483	2248
177	485	2241
178	486	2233
179	488	2225
180	490	2218
181	492	2213
182	494	2206
183	495	2199
184	497	2192
185	499	2185
186	501	2179
187	503	2172
188	504	2166
189	506	2159
190	508	2153
191	510	2146
192	511	2139
193	513	2133
194	515	2126
195	517	2122
196	519	2118
197	522	2114
198	523	2108
199	525	2103
200	527	2097
201	529	2091
202	531	2086
203	533	2080
204	535	2075
205	537	2071
206	539	2067
207	541	2062
208	543	2056
209	545	2052
210	547	2046
211	549	2040
212	551	2036
213	553	2031
214	554	2025
215	556	2019
216	558	2013
217	559	2007
218	561	2002
219	563	1996
220	564	1991
221	566	1986
222	568	1981
223	570	1975
224	572	1970
225	573	1964
226	575	1958
227	576	1953
228	578	1948
229	580	1942
230	582	1939
231	584	1933
232	585	1928
233	587	1922
234	589	1917
235	590	1912
236	592	1907
237	594	1902
238	596	1899
239	598	1895
240	600	1891
241	602	1887
242	604	1882
243	606	1878
244	608	1874
245	610	1871
246	612	1866
247	614	1862
248	615	1857
249	617	1852
250	619	1848
251	621	1843
252	622	1839
253	624	1834
254	626	1829
255	627	1825
256	629	1821
257	631	1816
258	633	1812
259	635	1808
260	637	1803
261	638	1799
262	641	1796
263	642	1792
264	644	1787
265	646	1783
266	648	1779
267	649	1774
268	651	1770
269	653	1766
270	655	1762
271	657	1758
272	659	1755
273	660	1750
274	662	1746
275	664	1742
276	666	1738
277	667	1734
278	669	1731
279	671	1727
280	673	1723
281	675	1719
282	677	1715
283	678	1711
284	680	1707
285	682	1703
286	684	1700
287	686	1696
288	688	1694
289	690	1691
290	693	1690
291	695	1686
292	697	1682
293	699	1679
294	701	1676
295	703	1673
296	705	1670
297	707	1667
298	709	1664
299	711	1660
300	713	1657
301	715	1653
302	717	1649
303	719	1647
304	721	1643
305	722	1639
306	724	1635
307	726	1631
308	728	1628
309	730	1624
310	731	1621
311	733	1618
312	735	1614
313	737	1610
314	739	1607
315	740	1603
316	742	1600
317	744	1596
318	746	1592
319	747	1589
320	750	1586
321	751	1582
322	753	1579
323	755	1575
324	756	1572
325	758	1568
326	760	1565
327	762	1561
328	764	1558
329	766	1556
330	769	1554
331	771	1551
332	772	1547
333	774	1544
334	776	1540
335	779	1540
336	782	1538
337	784	1535
338	786	1532
339	787	1529
340	789	1525
341	791	1522
342	794	1521
343	797	1521
344	799	1518
345	801	1515
346	803	1511
347	805	1508
348	806	1504
349	809	1503
350	813	1503
351	815	1500
352	817	1497
353	818	1494
354	820	1490
355	822	1487
356	825	1487
357	828	1486
358	830	1483
359	832	1480
360	834	1477
361	836	1474
362	838	1471
363	842	1472
364	844	1469
365	846	1466
366	848	1463
367	850	1460
368	852	1457
369	855	1456
370	858	1455
371	861	1453
372	863	1450
373	865	1448
374	867	1445
375	871	1445
376	874	1444
377	876	1441
378	878	1438
379	880	1437
380	883	1435
381	887	1435
382	898	1447
383	902	1447
384	905	1446
385	907	1443
386	908	1439
387	910	1436
388	912	1433
389	914	1430
390	917	1429
391	921	1429
392	923	1425
393	924	1422
394	926	1419
395	928	1416
396	930	1412
397	933	1411
398	935	1409
399	937	1406
400	939	1403
401	941	1399
402	942	1396
403	944	1393
404	947	1392
405	950	1390
406	952	1387
407	954	1384
408	955	1381
409	957	1378
410	959	1375
411	961	1372
412	964	1370
413	966	1367
414	968	1364
415	969	1361
416	972	1359
417	973	1355
418	975	1352
419	978	1351
420	981	1349
421	983	1346
422	984	1343
423	986	1340
424	988	1337
425	990	1334
426	992	1332
427	994	1329
428	996	1326
429	998	1322
430	999	1319
431	1001	1317
432	1003	1314
433	1005	1310
434	1007	1308
435	1008	1305
436	1010	1302
437	1012	1299
438	1014	1295
439	1015	1293
440	1017	1289
441	1019	1286
442	1021	1283
443	1023	1281
444	1025	1278
445	1026	1275
446	1028	1272
447	1030	1270
448	1033	1267
449	1035	1265
450	1037	1263
451	1039	1260
452	1041	1257
453	1046	1258
454	1048	1255
455	1050	1252
456	1052	1249
457	1054	1247
458	1056	1244
459	1058	1242
460	1060	1239
461	1061	1236
462	1063	1233
463	1065	1230
464	1067	1227
465	1068	1224
466	1070	1221
467	1072	1219
468	1074	1216
469	1076	1213
470	1077	1210
471	1079	1207
472	1081	1204
473	1083	1202
474	1085	1199
